Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-4421M,,,Name:,MBaker 1 seat,,,Firmware:,,,,Boat ID:,BAKER
Start Time:,04/10/18 04:51pm,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,1
Type:,Just Go,,,Serial:,2279989,,,,,,,Port Starboard:,Port
System of Units:,Meters/Split500,,,Firmware Version:,2.17,,,,,,,Oar Length:,376
Speed Input:,GPS,,,Profile Version:,0.02,,,,,,,Inboard Length:,113
,,,,Hardware Version:,Rev 11
,,,,LiNK Version:,1.30


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,4421.4,0.0,00:14:35.5,00:01:39.0,5.05,00:00:00.0,0.00,31.5,429,10.3,0.0,---,234,-55,9,32,13,226,431,461,-14,41.86690810,-71.37973820


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,4421.4,0.0,00:14:35.5,00:01:39.0,5.05,00:00:00.0,0.00,31.5,429,10.3,0.0,---,234,-55,9,32,13,226,431,461,-14,41.86690810,-71.37973820



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,3.3,0.0,00:00:01.3,00:04:55.8,1.69,00:00:00.0,0.00,46.0,1,3.3,0.0,---,164,-56,8,32,12,240,461,503,-16,41.86690810,-71.37973820
1,---,---,---,---,---,---,---,---,1,---,---,---,131,-47,5,31,9,234,472,525,-12,---,---
1,12.9,0.0,00:00:04.3,00:02:55.4,2.85,00:00:00.0,0.00,21.5,2,9.5,0.0,---,220,-60,7,33,11,290,578,584,-18,41.86682530,-71.37970940
1,23.9,0.0,00:00:06.8,00:02:22.4,3.51,00:00:00.0,0.00,22.0,3,11.1,0.0,---,193,-57,9,32,11,255,501,515,-11,41.86672870,-71.37967770
1,35.3,0.0,00:00:09.4,00:02:02.2,4.09,00:00:00.0,0.00,23.0,4,11.4,0.0,---,216,-60,6,33,11,265,554,527,-17,41.86662970,-71.37964490
1,46.6,0.0,00:00:11.8,00:01:53.3,4.41,00:00:00.0,0.00,24.5,5,11.3,0.0,---,209,-59,7,31,9,256,501,489,-19,41.86653090,-71.37961390
1,58.7,0.0,00:00:14.4,00:01:47.7,4.64,00:00:00.0,0.00,24.5,6,12.2,0.0,---,205,-59,7,33,11,242,526,518,-16,41.86642440,-71.37958050
1,70.5,0.0,00:00:16.9,00:01:43.3,4.84,00:00:00.0,0.00,24.5,7,11.7,0.0,---,230,-61,8,33,12,271,532,545,-17,41.86632200,-71.37954660
1,81.5,0.0,00:00:19.3,00:01:42.4,4.88,00:00:00.0,0.00,25.0,8,11.0,0.0,---,276,-60,5,33,8,321,661,693,-16,41.86622640,-71.37951340
1,92.7,0.0,00:00:21.3,00:01:40.0,5.00,00:00:00.0,0.00,29.0,9,11.3,0.0,---,295,-59,11,33,9,305,561,616,-13,41.86612750,-71.37948520
1,102.5,0.0,00:00:23.0,00:01:36.1,5.20,00:00:00.0,0.00,33.0,10,9.8,0.0,---,354,-58,4,32,8,345,645,686,-17,41.86604120,-71.37946270
1,111.9,0.0,00:00:24.6,00:01:31.5,5.46,00:00:00.0,0.00,35.5,11,9.4,0.0,---,381,-55,4,32,10,341,625,701,-17,41.86595840,-71.37943990
1,121.9,0.0,00:00:26.2,00:01:26.9,5.75,00:00:00.0,0.00,36.0,12,10.0,0.0,---,403,-58,4,33,10,360,657,698,-16,41.86587080,-71.37941500
1,132.9,0.0,00:00:28.3,00:01:23.4,5.99,00:00:00.0,0.00,34.5,13,11.0,0.0,---,363,-60,6,32,8,329,649,686,-16,41.86577410,-71.37938780
1,143.7,0.0,00:00:29.8,00:01:21.0,6.17,00:00:00.0,0.00,34.5,14,10.8,0.0,---,381,-60,6,32,8,344,679,706,-18,41.86567940,-71.37936150
1,154.5,0.0,00:00:31.6,00:01:21.3,6.15,00:00:00.0,0.00,33.0,15,10.8,0.0,---,372,-60,6,33,10,334,662,690,-17,41.86558450,-71.37933370
1,165.1,0.0,00:00:33.5,00:01:21.4,6.14,00:00:00.0,0.00,32.5,16,10.6,0.0,---,363,-59,7,33,9,355,649,690,-16,41.86549240,-71.37930100
1,177.1,0.0,00:00:35.5,00:01:21.8,6.11,00:00:00.0,0.00,31.5,17,12.0,0.0,---,334,-61,7,33,8,323,656,692,-16,41.86538800,-71.37926680
1,187.1,0.0,00:00:37.3,00:01:21.9,6.10,00:00:00.0,0.00,31.5,18,10.0,0.0,---,347,-60,7,33,9,347,652,712,-17,41.86530030,-71.37924020
1,199.0,0.0,00:00:39.1,00:01:21.3,6.15,00:00:00.0,0.00,33.0,19,11.9,0.0,---,373,-60,6,34,11,358,702,727,-18,41.86519610,-71.37920660
1,211.3,0.0,00:00:41.1,00:01:21.8,6.11,00:00:00.0,0.00,31.5,20,12.3,0.0,---,345,-58,5,33,9,336,642,697,-17,41.86508880,-71.37917120
1,222.3,0.0,00:00:42.8,00:01:22.2,6.08,00:00:00.0,0.00,31.5,21,11.0,0.0,---,347,-57,5,33,8,351,639,698,-18,41.86499270,-71.37914210
1,234.1,0.0,00:00:44.9,00:01:21.9,6.10,00:00:00.0,0.00,31.5,22,11.8,0.0,---,319,-58,6,33,9,317,626,664,-17,41.86488930,-71.37910860
1,244.9,0.0,00:00:46.6,00:01:22.6,6.05,00:00:00.0,0.00,33.0,23,10.8,0.0,---,339,-58,6,34,11,337,618,664,-17,41.86479540,-71.37907500
1,255.6,0.0,00:00:48.5,00:01:23.1,6.01,00:00:00.0,0.00,31.5,24,10.7,0.0,---,307,-58,6,33,9,316,581,629,-17,41.86470190,-71.37904420
1,267.4,0.0,00:00:50.4,00:01:23.0,6.02,00:00:00.0,0.00,31.5,25,11.8,0.0,---,318,-58,6,33,10,307,608,651,-17,41.86459870,-71.37901110
1,277.0,0.0,00:00:52.3,00:01:23.6,5.98,00:00:00.0,0.00,31.5,26,9.6,0.0,---,292,-57,7,33,10,295,552,613,-15,41.86451530,-71.37898300
1,289.6,0.0,00:00:54.3,00:01:22.7,6.04,00:00:00.0,0.00,32.5,27,12.6,0.0,---,318,-57,6,33,10,307,596,650,-18,41.86440540,-71.37894700
1,300.4,0.0,00:00:56.1,00:01:23.1,6.01,00:00:00.0,0.00,31.5,28,10.8,0.0,---,316,-59,6,33,10,300,588,630,-16,41.86431170,-71.37891480
1,311.0,0.0,00:00:57.8,00:01:24.4,5.92,00:00:00.0,0.00,32.5,29,10.6,0.0,---,316,-58,6,33,9,316,589,619,-16,41.86421830,-71.37888760
1,322.5,0.0,00:00:59.9,00:01:24.4,5.92,00:00:00.0,0.00,31.5,30,11.5,0.0,---,322,-59,5,33,11,316,626,662,-20,41.86411780,-71.37885670
1,333.1,0.0,00:01:01.7,00:01:24.6,5.91,00:00:00.0,0.00,31.5,31,10.6,0.0,---,315,-59,6,33,13,300,589,635,-19,41.86402540,-71.37882700
1,345.5,0.0,00:01:03.9,00:01:24.7,5.90,00:00:00.0,0.00,30.0,32,12.4,0.0,---,180,-58,8,33,15,189,376,385,-22,41.86391680,-71.37879120
1,356.5,0.0,00:01:05.9,00:01:27.7,5.70,00:00:00.0,0.00,28.0,33,11.0,0.0,---,232,-59,7,34,11,258,498,494,-18,41.86382220,-71.37875470
1,368.3,0.0,00:01:08.0,00:01:32.2,5.42,00:00:00.0,0.00,27.0,34,11.8,0.0,---,217,-59,6,34,14,249,480,484,-17,41.86371930,-71.37872080
1,378.7,0.0,00:01:10.3,00:01:34.6,5.28,00:00:00.0,0.00,28.0,35,10.4,0.0,---,184,-60,7,32,13,211,409,397,-20,41.86362880,-71.37868860
1,390.5,0.0,00:01:12.5,00:01:34.5,5.29,00:00:00.0,0.00,27.0,36,11.8,0.0,---,172,-57,8,33,16,190,376,380,-21,41.86352620,-71.37865240
1,400.8,0.0,00:01:14.4,00:01:35.4,5.24,00:00:00.0,0.00,29.0,37,10.3,0.0,---,265,-59,6,33,12,267,534,565,-17,41.86343650,-71.37862140
1,409.6,0.0,00:01:16.3,00:01:35.4,5.24,00:00:00.0,0.00,31.5,38,8.7,0.0,---,283,-57,6,33,13,271,513,547,-18,41.86336040,-71.37859580
