Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-7588M,,,Name:,94THoF 2 seat,,,Firmware:,001.01,,,Boat ID:,HOF
Start Time:,04/11/18 07:14am,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,2
Type:,Just Go,,,Serial:,2279977,,,,,,,Port Starboard:,Starboard
System of Units:,Meters/Split500,,,Firmware Version:,2.17,,,,,,,Oar Length:,376
Speed Input:,GPS,,,Profile Version:,0.02,,,,,,,Inboard Length:,113
,,,,Hardware Version:,Rev 11
,,,,LiNK Version:,1.30


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,7588.4,0.0,00:26:36.9,00:01:45.2,4.75,00:00:00.0,0.00,33.5,816,9.3,0.0,153,238,-54,6,28,12,224,412,439,-17,41.84838140,-71.37478360


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,7588.4,0.0,00:26:36.9,00:01:45.2,4.75,00:00:00.0,0.00,33.5,816,9.3,0.0,151,238,-54,6,28,12,224,412,439,-17,41.84838140,-71.37478360



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,1.7,0.0,00:00:01.6,00:04:44.0,1.76,00:00:00.0,0.00,36.0,1,1.7,0.0,---,243,-54,3,28,4,266,697,693,-14,41.84838140,-71.37478360
1,3.1,0.0,00:00:01.9,00:04:13.8,1.97,00:00:00.0,0.00,84.0,2,1.4,0.0,---,378,-54,2,27,5,412,663,675,-14,41.84836930,-71.37478510
1,10.8,0.0,00:00:03.8,00:02:32.9,3.27,00:00:00.0,0.00,35.0,3,7.8,0.0,---,422,-58,3,28,7,414,663,677,-20,41.84829980,-71.37479200
1,18.9,0.0,00:00:05.4,00:02:02.5,4.08,00:00:00.0,0.00,37.0,4,8.1,0.0,---,414,-58,3,28,7,373,643,669,-19,41.84822770,-71.37480080
