Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-7667M,,,Name:,94THoF 2 seat,,,Firmware:,001.01,,,Boat ID:,HOF
Start Time:,04/17/18 07:06am,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,2
Type:,Just Go,,,Serial:,2279977,,,,,,,Port Starboard:,Starboard
System of Units:,Meters/Split500,,,Firmware Version:,2.17,,,,,,,Oar Length:,376
Speed Input:,GPS,,,Profile Version:,0.02,,,,,,,Inboard Length:,113
,,,,Hardware Version:,Rev 11
,,,,LiNK Version:,1.30


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,7667.1,0.0,00:27:59.8,00:01:49.6,4.56,00:00:00.0,0.00,24.5,664,11.5,0.0,148,203,-59,6,29,12,246,503,505,-19,41.85507340,-71.37530350


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,7667.1,0.0,00:27:59.8,00:01:49.6,4.56,00:00:00.0,0.00,24.5,664,11.5,0.0,148,203,-59,6,29,12,246,503,505,-19,41.85507340,-71.37530350



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,6.8,0.0,00:00:03.9,---,---,00:00:00.0,0.00,15.5,1,6.8,0.0,92,1,-35,---,-31,---,14,0,19,-31,41.85507340,-71.37530350
1,---,---,---,---,---,---,---,---,1,---,---,---,1,-45,---,-41,---,18,1,23,-45,---,---
1,24.1,0.0,00:00:13.1,00:04:28.8,1.86,00:00:00.0,0.00,38.0,2,17.3,0.0,90,237,-51,4,28,8,278,489,544,-13,41.85486210,-71.37527030
1,28.5,0.0,00:00:14.5,00:03:19.2,2.51,00:00:00.0,0.00,36.5,3,4.4,0.0,91,190,-62,7,31,10,281,559,563,-13,41.85482300,-71.37526890
1,40.3,0.0,00:00:17.8,00:02:27.0,3.40,00:00:00.0,0.00,20.0,4,11.8,0.0,98,207,-62,5,31,10,297,607,575,-14,41.85471680,-71.37527770
1,52.5,0.0,00:00:20.5,00:02:08.5,3.89,00:00:00.0,0.00,21.0,5,12.2,0.0,101,224,-63,5,30,9,302,624,594,-21,41.85460790,-71.37528840
